iter	Logloss
0	0.6073330904
1	0.536745767
2	0.4773360544
3	0.4272223065
4	0.384488229
5	0.3462746846
6	0.3139091019
7	0.2856139632
8	0.2606001206
9	0.2383930041
10	0.2182069647
11	0.2003532022
12	0.1849144199
13	0.1708395175
14	0.15827615
15	0.1469130158
16	0.1368601775
17	0.1277177037
18	0.1197130584
19	0.1122135753
20	0.1057764881
21	0.09983554733
22	0.09436361242
23	0.08964590062
24	0.08514934859
25	0.081412355
26	0.07801252961
27	0.07454797366
28	0.07160217279
29	0.06881917477
30	0.06622302989
31	0.06387199177
32	0.06208176803
33	0.06032533129
34	0.05875978888
35	0.05722077725
36	0.05560429766
37	0.05415143345
38	0.05290653438
39	0.05181262489
